Simulation,Time,Algorithm,Cumulative Reward
1,200,Epsilon Greedy,176
1,400,Epsilon Greedy,343
1,600,Epsilon Greedy,518
1,800,Epsilon Greedy,694
1,1000,Epsilon Greedy,858
2,200,Epsilon Greedy,167
2,400,Epsilon Greedy,340
2,600,Epsilon Greedy,511
2,800,Epsilon Greedy,683
2,1000,Epsilon Greedy,858
3,200,Epsilon Greedy,173
3,400,Epsilon Greedy,334
3,600,Epsilon Greedy,500
3,800,Epsilon Greedy,681
3,1000,Epsilon Greedy,849
4,200,Epsilon Greedy,162
4,400,Epsilon Greedy,344
4,600,Epsilon Greedy,510
4,800,Epsilon Greedy,686
4,1000,Epsilon Greedy,853
5,200,Epsilon Greedy,166
5,400,Epsilon Greedy,338
5,600,Epsilon Greedy,502
5,800,Epsilon Greedy,671
5,1000,Epsilon Greedy,839
6,200,Epsilon Greedy,172
6,400,Epsilon Greedy,336
6,600,Epsilon Greedy,507
6,800,Epsilon Greedy,689
6,1000,Epsilon Greedy,859
7,200,Epsilon Greedy,168
7,400,Epsilon Greedy,336
7,600,Epsilon Greedy,507
7,800,Epsilon Greedy,677
7,1000,Epsilon Greedy,854
8,200,Epsilon Greedy,179
8,400,Epsilon Greedy,352
8,600,Epsilon Greedy,528
8,800,Epsilon Greedy,694
8,1000,Epsilon Greedy,863
9,200,Epsilon Greedy,172
9,400,Epsilon Greedy,339
9,600,Epsilon Greedy,505
9,800,Epsilon Greedy,677
9,1000,Epsilon Greedy,845
10,200,Epsilon Greedy,171
10,400,Epsilon Greedy,346
10,600,Epsilon Greedy,513
10,800,Epsilon Greedy,676
10,1000,Epsilon Greedy,852
11,200,Epsilon Greedy,168
11,400,Epsilon Greedy,339
11,600,Epsilon Greedy,516
11,800,Epsilon Greedy,691
11,1000,Epsilon Greedy,867
12,200,Epsilon Greedy,170
12,400,Epsilon Greedy,332
12,600,Epsilon Greedy,505
12,800,Epsilon Greedy,677
12,1000,Epsilon Greedy,850
13,200,Epsilon Greedy,174
13,400,Epsilon Greedy,355
13,600,Epsilon Greedy,524
13,800,Epsilon Greedy,693
13,1000,Epsilon Greedy,865
14,200,Epsilon Greedy,173
14,400,Epsilon Greedy,349
14,600,Epsilon Greedy,516
14,800,Epsilon Greedy,683
14,1000,Epsilon Greedy,852
15,200,Epsilon Greedy,169
15,400,Epsilon Greedy,340
15,600,Epsilon Greedy,510
15,800,Epsilon Greedy,688
15,1000,Epsilon Greedy,865
16,200,Epsilon Greedy,167
16,400,Epsilon Greedy,339
16,600,Epsilon Greedy,504
16,800,Epsilon Greedy,668
16,1000,Epsilon Greedy,843
17,200,Epsilon Greedy,177
17,400,Epsilon Greedy,354
17,600,Epsilon Greedy,537
17,800,Epsilon Greedy,706
17,1000,Epsilon Greedy,879
18,200,Epsilon Greedy,175
18,400,Epsilon Greedy,354
18,600,Epsilon Greedy,520
18,800,Epsilon Greedy,688
18,1000,Epsilon Greedy,856
19,200,Epsilon Greedy,177
19,400,Epsilon Greedy,347
19,600,Epsilon Greedy,518
19,800,Epsilon Greedy,693
19,1000,Epsilon Greedy,863
20,200,Epsilon Greedy,176
20,400,Epsilon Greedy,348
20,600,Epsilon Greedy,521
20,800,Epsilon Greedy,692
20,1000,Epsilon Greedy,867
21,200,Epsilon Greedy,171
21,400,Epsilon Greedy,346
21,600,Epsilon Greedy,516
21,800,Epsilon Greedy,685
21,1000,Epsilon Greedy,856
22,200,Epsilon Greedy,167
22,400,Epsilon Greedy,347
22,600,Epsilon Greedy,519
22,800,Epsilon Greedy,684
22,1000,Epsilon Greedy,852
23,200,Epsilon Greedy,161
23,400,Epsilon Greedy,329
23,600,Epsilon Greedy,500
23,800,Epsilon Greedy,672
23,1000,Epsilon Greedy,845
24,200,Epsilon Greedy,170
24,400,Epsilon Greedy,346
24,600,Epsilon Greedy,508
24,800,Epsilon Greedy,684
24,1000,Epsilon Greedy,858
25,200,Epsilon Greedy,176
25,400,Epsilon Greedy,340
25,600,Epsilon Greedy,521
25,800,Epsilon Greedy,694
25,1000,Epsilon Greedy,863
26,200,Epsilon Greedy,176
26,400,Epsilon Greedy,348
26,600,Epsilon Greedy,527
26,800,Epsilon Greedy,695
26,1000,Epsilon Greedy,864
27,200,Epsilon Greedy,180
27,400,Epsilon Greedy,347
27,600,Epsilon Greedy,517
27,800,Epsilon Greedy,688
27,1000,Epsilon Greedy,855
28,200,Epsilon Greedy,164
28,400,Epsilon Greedy,328
28,600,Epsilon Greedy,497
28,800,Epsilon Greedy,668
28,1000,Epsilon Greedy,839
29,200,Epsilon Greedy,178
29,400,Epsilon Greedy,345
29,600,Epsilon Greedy,517
29,800,Epsilon Greedy,692
29,1000,Epsilon Greedy,861
30,200,Epsilon Greedy,174
30,400,Epsilon Greedy,349
30,600,Epsilon Greedy,524
30,800,Epsilon Greedy,693
30,1000,Epsilon Greedy,879
31,200,Epsilon Greedy,177
31,400,Epsilon Greedy,343
31,600,Epsilon Greedy,513
31,800,Epsilon Greedy,688
31,1000,Epsilon Greedy,864
32,200,Epsilon Greedy,177
32,400,Epsilon Greedy,333
32,600,Epsilon Greedy,502
32,800,Epsilon Greedy,676
32,1000,Epsilon Greedy,852
33,200,Epsilon Greedy,176
33,400,Epsilon Greedy,343
33,600,Epsilon Greedy,516
33,800,Epsilon Greedy,685
33,1000,Epsilon Greedy,867
34,200,Epsilon Greedy,168
34,400,Epsilon Greedy,341
34,600,Epsilon Greedy,509
34,800,Epsilon Greedy,684
34,1000,Epsilon Greedy,854
35,200,Epsilon Greedy,172
35,400,Epsilon Greedy,342
35,600,Epsilon Greedy,521
35,800,Epsilon Greedy,696
35,1000,Epsilon Greedy,872
36,200,Epsilon Greedy,167
36,400,Epsilon Greedy,339
36,600,Epsilon Greedy,509
36,800,Epsilon Greedy,692
36,1000,Epsilon Greedy,858
37,200,Epsilon Greedy,174
37,400,Epsilon Greedy,349
37,600,Epsilon Greedy,515
37,800,Epsilon Greedy,681
37,1000,Epsilon Greedy,858
38,200,Epsilon Greedy,170
38,400,Epsilon Greedy,339
38,600,Epsilon Greedy,504
38,800,Epsilon Greedy,664
38,1000,Epsilon Greedy,829
39,200,Epsilon Greedy,163
39,400,Epsilon Greedy,340
39,600,Epsilon Greedy,513
39,800,Epsilon Greedy,695
39,1000,Epsilon Greedy,858
40,200,Epsilon Greedy,179
40,400,Epsilon Greedy,353
40,600,Epsilon Greedy,523
40,800,Epsilon Greedy,701
40,1000,Epsilon Greedy,872
41,200,Epsilon Greedy,165
41,400,Epsilon Greedy,341
41,600,Epsilon Greedy,514
41,800,Epsilon Greedy,690
41,1000,Epsilon Greedy,867
42,200,Epsilon Greedy,173
42,400,Epsilon Greedy,348
42,600,Epsilon Greedy,526
42,800,Epsilon Greedy,701
42,1000,Epsilon Greedy,876
43,200,Epsilon Greedy,177
43,400,Epsilon Greedy,349
43,600,Epsilon Greedy,524
43,800,Epsilon Greedy,697
43,1000,Epsilon Greedy,872
44,200,Epsilon Greedy,179
44,400,Epsilon Greedy,353
44,600,Epsilon Greedy,527
44,800,Epsilon Greedy,705
44,1000,Epsilon Greedy,880
45,200,Epsilon Greedy,175
45,400,Epsilon Greedy,348
45,600,Epsilon Greedy,515
45,800,Epsilon Greedy,691
45,1000,Epsilon Greedy,869
46,200,Epsilon Greedy,172
46,400,Epsilon Greedy,350
46,600,Epsilon Greedy,532
46,800,Epsilon Greedy,702
46,1000,Epsilon Greedy,878
47,200,Epsilon Greedy,164
47,400,Epsilon Greedy,342
47,600,Epsilon Greedy,510
47,800,Epsilon Greedy,680
47,1000,Epsilon Greedy,857
48,200,Epsilon Greedy,174
48,400,Epsilon Greedy,342
48,600,Epsilon Greedy,522
48,800,Epsilon Greedy,694
48,1000,Epsilon Greedy,874
49,200,Epsilon Greedy,172
49,400,Epsilon Greedy,343
49,600,Epsilon Greedy,515
49,800,Epsilon Greedy,684
49,1000,Epsilon Greedy,852
50,200,Epsilon Greedy,173
50,400,Epsilon Greedy,344
50,600,Epsilon Greedy,518
50,800,Epsilon Greedy,689
50,1000,Epsilon Greedy,857
51,200,Epsilon Greedy,171
51,400,Epsilon Greedy,342
51,600,Epsilon Greedy,520
51,800,Epsilon Greedy,697
51,1000,Epsilon Greedy,865
52,200,Epsilon Greedy,178
52,400,Epsilon Greedy,346
52,600,Epsilon Greedy,520
52,800,Epsilon Greedy,675
52,1000,Epsilon Greedy,842
53,200,Epsilon Greedy,174
53,400,Epsilon Greedy,346
53,600,Epsilon Greedy,513
53,800,Epsilon Greedy,682
53,1000,Epsilon Greedy,856
54,200,Epsilon Greedy,171
54,400,Epsilon Greedy,345
54,600,Epsilon Greedy,513
54,800,Epsilon Greedy,685
54,1000,Epsilon Greedy,857
55,200,Epsilon Greedy,177
55,400,Epsilon Greedy,341
55,600,Epsilon Greedy,522
55,800,Epsilon Greedy,694
55,1000,Epsilon Greedy,864
56,200,Epsilon Greedy,170
56,400,Epsilon Greedy,339
56,600,Epsilon Greedy,503
56,800,Epsilon Greedy,678
56,1000,Epsilon Greedy,849
57,200,Epsilon Greedy,174
57,400,Epsilon Greedy,349
57,600,Epsilon Greedy,513
57,800,Epsilon Greedy,690
57,1000,Epsilon Greedy,867
58,200,Epsilon Greedy,178
58,400,Epsilon Greedy,351
58,600,Epsilon Greedy,520
58,800,Epsilon Greedy,689
58,1000,Epsilon Greedy,860
59,200,Epsilon Greedy,174
59,400,Epsilon Greedy,354
59,600,Epsilon Greedy,521
59,800,Epsilon Greedy,692
59,1000,Epsilon Greedy,866
60,200,Epsilon Greedy,173
60,400,Epsilon Greedy,341
60,600,Epsilon Greedy,513
60,800,Epsilon Greedy,683
60,1000,Epsilon Greedy,847
61,200,Epsilon Greedy,169
61,400,Epsilon Greedy,342
61,600,Epsilon Greedy,514
61,800,Epsilon Greedy,692
61,1000,Epsilon Greedy,868
62,200,Epsilon Greedy,171
62,400,Epsilon Greedy,345
62,600,Epsilon Greedy,517
62,800,Epsilon Greedy,688
62,1000,Epsilon Greedy,857
63,200,Epsilon Greedy,177
63,400,Epsilon Greedy,337
63,600,Epsilon Greedy,515
63,800,Epsilon Greedy,686
63,1000,Epsilon Greedy,862
64,200,Epsilon Greedy,169
64,400,Epsilon Greedy,346
64,600,Epsilon Greedy,522
64,800,Epsilon Greedy,695
64,1000,Epsilon Greedy,871
65,200,Epsilon Greedy,177
65,400,Epsilon Greedy,361
65,600,Epsilon Greedy,531
65,800,Epsilon Greedy,701
65,1000,Epsilon Greedy,872
66,200,Epsilon Greedy,172
66,400,Epsilon Greedy,349
66,600,Epsilon Greedy,519
66,800,Epsilon Greedy,693
66,1000,Epsilon Greedy,861
67,200,Epsilon Greedy,175
67,400,Epsilon Greedy,348
67,600,Epsilon Greedy,523
67,800,Epsilon Greedy,691
67,1000,Epsilon Greedy,865
68,200,Epsilon Greedy,166
68,400,Epsilon Greedy,333
68,600,Epsilon Greedy,501
68,800,Epsilon Greedy,676
68,1000,Epsilon Greedy,850
69,200,Epsilon Greedy,171
69,400,Epsilon Greedy,341
69,600,Epsilon Greedy,513
69,800,Epsilon Greedy,679
69,1000,Epsilon Greedy,866
